Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt,DFF_raw
265.090615,,1157.865,1044.494,265.090615,-52.10573497,0.074606331,265.090615,7.260115021,-0.09791383278706939,-26.53927971640281,1.2080917615364166,-0.0979138327870693
265.190617,,1157.847,1040.245,265.190617,-53.1022256,0.027717401,265.190617,5.565889667,-0.10156955107194654,-29.108752270871484,2.118357356625004,-0.1015695510719465
265.290618,,1158.349,1036.069,265.290618,-46.5423121,-0.046500441,265.290618,4.260773326,-0.10556403985327391,-27.516425244229737,2.4263507627827883,-0.1055640398532739
265.390611,,1157.017,1043.519,265.390611,-29.51642898,-0.114675075,265.390611,0.606723755,-0.09809536074232275,-31.356153303903262,2.8292979724863585,-0.0980953607423227
265.490616,,1160.348,1052.348,265.490616,-1.219469776,-0.150287965,265.490616,3.017280618,-0.09307552561817661,-31.000377140853985,1.918944980084461,-0.0930755256181766
265.590615,,1155.782,1055.104,265.590615,35.70146659,-0.144305301,265.590615,4.462085635,-0.08710812246600128,9.150878511211095,0.2037904700781966,-0.0871081224660012
265.69061,,1152.108,1173.38,265.69061,75.00761959,-0.108709366,265.69061,1.55780258,0.01846354682026352,95.60272340284712,-0.0984588859811423,0.0184635468202635
265.79061,,1159.144,1256.019,265.79061,108.6248602,-0.07084713,265.79061,2.724411598,0.08357460332797305,174.51846580154736,0.1097538280688062,0.083574603327973
265.890611,,1155.695,1254.087,265.890611,129.8048837,-0.060539159,265.890611,1.815760199,0.08513664937548407,192.98215180276907,-1.6678600279346107,0.085136649375484
265.990612,,1146.743,1229.807,265.990612,135.918104,-0.096637748,265.990612,2.119157245,0.07243471292172708,162.80223069389604,-3.6234090593203248,0.072434712921727
266.090609,,1158.008,1206.163,266.090609,129.2380574,-0.180984171,266.090609,2.723887843,0.041584341386242556,130.98470364144896,-2.0167959510725453,0.0415843413862425
266.190608,,1156.747,1182.617,266.190608,115.5412298,-0.302200153,266.190608,3.007594123,0.022364440971102486,115.2354881291807,2.2185699037031794,0.0223644409711024
266.290607,,1160.415,1169.138,266.290607,101.568889,-0.443971955,266.290607,1.175295293,0.007517138265189571,100.41918656266762,4.954589394705724,0.0075171382651895
266.390608,,1159.903,1158.655,266.390608,92.56601898,-0.590450995,266.390608,0.605455151,-0.001075952040817247,82.30251304393997,4.7568793980683175,-0.0010759520408172
266.490604,,1161.225,1147.165,266.490604,90.69116938,-0.726462944,266.490604,1.695401646,-0.01210790329178234,82.26579381681906,3.828767873844444,-0.0121079032917823
266.590602,,1158.738,1174.098,266.590602,94.68857323,-0.83610571,266.590602,0.587630363,0.013255800707321155,111.3714207515415,4.543625012404782,0.0132558007073211
266.690603,,1161.048,1226.459,266.690603,100.8940175,-0.903938199,266.690603,0.302727575,0.05633789472958918,143.5139708841401,6.297267250200817,0.0563378947295891
266.790604,,1164.885,1211.631,266.790604,105.1271409,-0.918917602,266.790604,1.397446516,0.040129283148122,146.20089129438722,6.313340007415834,0.040129283148122
266.890599,,1157.366,1187.962,266.890599,104.4588869,-0.878071884,266.890599,1.509039749,0.026435889770392428,122.8908181398306,3.8872148655784953,0.0264358897703924
266.990599,,1156.479,1174.439,266.990599,97.94177017,-0.78777204,266.990599,1.420257775,0.015529897213870754,101.02162897251256,1.2699746652817696,0.0155298972138707
267.090599,,1156.301,1160.637,267.090599,86.24048971,-0.662896271,267.090599,1.554402398,0.003749888653559941,91.4713835655732,-0.4252369801589615,0.0037498886535599
267.190602,,1153.639,1153.781,267.190602,70.80619298,-0.524486725,267.190602,3.01745811,0.00012308876520302517,83.17247867608985,-2.0980845479536296,0.000123088765203
267.290595,,1151.541,1137.28,267.290595,53.21049573,-0.395481792,267.290595,5.733684251,-0.012384274637203511,67.92926749863739,-2.8663445690449207,-0.0123842746372035
267.390599,,1156.289,1117.644,267.390599,34.83275025,-0.295081662,267.390599,0.0,-0.033421575401997236,49.562997986551885,-0.3007498031234843,-0.0334215754019972
267.4906,,1159.202,1102.014,267.4906,16.79542325,-0.234530022,267.4906,1.645488495,-0.049333938347242416,31.971668461329813,4.56615124989332,-0.0493339383472424
267.590599,,1162.307,1087.021,267.590599,-0.002964904,-0.216563305,267.590599,3.024485799,-0.06477290423270277,14.210771541226284,7.097127761639412,-0.0647729042327027
267.690598,,1164.247,1064.424,267.690598,-14.84553337,-0.237236315,267.690598,1.645585291,-0.08574039701197433,-2.082498461435036,5.640907811556808,-0.0857403970119743
267.790592,,1155.114,1056.343,267.790592,-27.17150501,-0.286417938,267.790592,1.602321342,-0.08550757760705865,-12.258506054849876,3.708254643777329,-0.0855075776070586
267.890594,,1158.892,1056.256,267.890594,-36.54390801,-0.345062536,267.890594,1.420508453,-0.08856390414292269,-17.098936186372597,3.0982396014752687,-0.0885639041429226
267.990592,,1160.229,1044.469,267.990592,-42.61066046,-0.382243928,267.990592,1.420466668,-0.09977340680158829,-23.18152268689813,0.8952921710716686,-0.0997734068015882
268.090593,,1149.42,1033.895,268.090593,-45.15674033,-0.35798132,268.090593,2.794964884,-0.1005072123331768,-33.58693002823568,-3.1302282037627847,-0.1005072123331768
268.190589,,1150.262,1031.188,268.190589,-44.33207072,-0.235107514,268.190589,4.250896244,-0.10351902436140623,-42.25975216040222,-3.9070044544864033,-0.1035190243614062
268.290591,,1157.944,1030.933,268.290591,-40.94236899,0.002964491,268.290591,4.090467783,-0.10968665151337195,-38.73307987939268,0.090641428915525,-0.1096866515133719
268.39059,,1158.375,1041.603,268.39059,-36.51219728,0.336336097,268.39059,8.34212373,-0.1008067335707348,-20.97482406627512,3.527925619416864,-0.1008067335707348
268.490587,,1157.983,1074.464,268.490587,-32.8834674,0.703866069,268.490587,0.0,-0.07212454759698546,-2.860168030781508,2.835124440545336,-0.0721245475969854
268.590585,,1155.274,1067.273,268.590585,-31.43982797,1.017529118,268.590585,1.508976731,-0.07617327144902421,-0.8970651601300828,0.6701796465606092,-0.0761732714490242
268.690584,,1156.366,1051.73,268.690584,-32.43735021,1.195118451,268.690584,2.996411786,-0.09048692196069408,-14.47876808419174,0.0139680080054945,-0.090486921960694
268.790584,,1155.323,1041.936,268.790584,-34.94495416,1.195140239,268.790584,3.017104927,-0.09814311668684875,-28.87757028567292,0.1811029146092364,-0.0981431166868487
268.890585,,1155.15,1037.251,268.890585,-37.43958064,1.031832891,268.890585,2.927301428,-0.10206380123793456,-34.159528973427754,0.003629466453107,-0.1020638012379345
268.990583,,1155.626,1035.77,268.990583,-38.63517906,0.762349503,268.990583,0.312187812,-0.10371521582242005,-31.368444832692944,0.0747889387205037,-0.10371521582242
269.090586,,1154.857,1045.597,269.090586,-38.06436238,0.457923967,269.090586,2.945117008,-0.09460911610701585,-25.20031454875175,0.5092426956833366,-0.0946091161070158
269.190581,,1156.763,1048.138,269.190581,-36.18259214,0.177292216,269.190581,1.524052211,-0.09390428289978155,-19.57246315303128,0.3258234470633534,-0.0939042828997815
269.290584,,1156.086,1054.871,269.290584,-34.05481997,-0.046499932,269.290584,0.644537565,-0.08754971515959878,-16.906589612400857,0.3289250444077106,-0.0875497151595987
