Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt,DFF_raw
1234.15773,,671.107,656.69,1234.15773,-2.438716453,-0.091913739,1234.15773,1.575738501,-0.021482416365795495,-8.982569668487855,3.657897328656092,-0.0214824163657954
1234.257726,,670.216,664.608,1234.257726,2.862437244,0.374720605,1234.257726,1.556841939,-0.008367451687217347,2.054804228720819,2.9544808071487907,-0.0083674516872173
1234.357729,,670.202,684.475,1234.357729,7.907882346,0.818846185,1234.357729,0.0,0.021296564319414183,15.32732458686228,3.228824231322959,0.0212965643194141
1234.457724,,672.445,685.762,1234.457724,11.56687027,1.140928797,1234.457724,0.291800545,0.019803850129006675,21.09895068146497,4.914508678485217,0.0198038501290066
1234.557728,,674.449,683.017,1234.557728,13.19907378,1.2846036,1234.557728,0.310010153,0.012703703319302272,17.82556479841984,6.861424173927039,0.0127037033193022
1234.657724,,675.056,677.505,1234.657724,12.87414869,1.256002052,1234.657724,0.0,0.0036278471711975826,12.480326574749936,8.043312697749274,0.0036278471711975
1234.757726,,675.497,676.264,1234.757726,11.242738,1.112397037,1234.757726,0.0,0.0011354602611115265,9.920476992124684,8.380926390034691,0.0011354602611115
1234.857722,,675.641,674.981,1234.857722,9.195569187,0.93219489,1234.857722,0.0,-0.0009768501319487245,8.66811073377675,8.058492470258754,-0.0009768501319487
1234.957725,,675.164,670.53,1234.957725,7.50883625,0.783720131,1234.957725,0.0,-0.0068635176046116415,6.626436645135255,7.459616868997709,-0.0068635176046116
1235.057721,,673.813,672.002,1235.057721,6.599627906,0.703687017,1235.057721,1.609629883,-0.0026876893143944025,5.089231960598685,7.320551065848113,-0.0026876893143944
1235.157719,,675.072,671.589,1235.157719,6.441130494,0.689735273,1235.157719,1.575547503,-0.005159449658702993,6.226056914823172,7.700082326247148,-0.0051594496587029
1235.257723,,676.114,674.471,1235.257723,6.647146589,0.707869851,1235.257723,1.240583352,-0.0024300635691614563,9.574816706713037,7.686384404503217,-0.0024300635691614
1235.357721,,673.014,678.34,1235.357721,6.692502529,0.71186231,1235.357721,0.0,0.007913654099320403,12.064989796227197,6.950245862231969,0.0079136540993204
1235.457723,,673.789,676.963,1235.457723,6.178863168,0.666649178,1235.457723,1.624783362,0.004710673519454871,11.0920805081802,6.205902597371439,0.0047106735194548
1235.557717,,673.547,671.835,1235.557717,5.015920727,0.564281106,1235.557717,2.24560204,-0.002541767686590526,7.047995040924879,5.7958742791936,-0.0025417676865905
1235.657716,,672.544,668.108,1235.657716,3.421354125,0.423919294,1235.657716,1.575642996,-0.006595850977779945,2.4188200790998704,5.372356678375724,-0.0065958509777799
1235.757716,,671.627,666.027,1235.757716,1.754490446,0.277193527,1235.757716,0.0,-0.008337961398216435,-0.6724372331815887,4.870639785417641,-0.0083379613982164
1235.857717,,672.556,662.632,1235.857717,0.300364174,0.149193983,1235.857717,9.159841289,-0.014755648600265393,-1.3377189776078269,4.604665758075796,-0.0147556486002653
1235.957715,,672.115,667.011,1235.957715,-0.864155998,0.046687031,1235.957715,3.90855781,-0.007593938537303946,0.0589889406789358,4.788409945607557,-0.0075939385373039
1236.057717,,672.011,666.359,1236.057717,-1.854310272,-0.040471353,1236.057717,3.229284134,-0.008410576612585107,1.658926178221881,5.363766862160348,-0.0084105766125851
1236.157718,,673.67,667.135,1236.157718,-2.841792224,-0.127394506,1236.157718,1.556704579,-0.009700595246930944,1.2035149841767985,5.796922797063248,-0.0097005952469309
1236.257717,,672.718,664.397,1236.257717,-3.905390712,-0.221017821,1236.257717,4.765018759,-0.012369224548770678,-1.611937798800698,5.467060263552976,-0.0123692245487706
1236.357714,,672.029,660.205,1236.357714,-4.972693364,-0.314967195,1236.357714,3.059045544,-0.01759447880969416,-4.78899714995937,4.710853856001192,-0.0175944788096941
1236.457711,,671.456,658.681,1236.457711,-5.883121327,-0.395107666,1236.457711,3.181311057,-0.019025818519754052,-6.679077124878826,4.495306689182148,-0.019025818519754
1236.55771,,672.391,658.803,1236.55771,-6.515575664,-0.450779494,1236.55771,0.291774798,-0.020208479887446392,-7.604106548189373,4.817491209458529,-0.0202084798874463
1236.657712,,672.267,657.614,1236.657712,-6.887199687,-0.483491719,1236.657712,0.599760288,-0.021796399347283175,-7.919559860624191,4.831615324768292,-0.0217963993472831
1236.757713,,671.961,658.037,1236.757713,-7.154198448,-0.506994299,1236.757713,1.977634082,-0.020721440678848888,-6.652332843324544,4.6515746489864,-0.0207214406788488
1236.857713,,672.171,662.397,1236.857713,-7.49338813,-0.53685149,1236.857713,3.151572517,-0.014540942706543424,-3.838261045521481,5.249984298849895,-0.0145409427065434
1236.957709,,673.727,663.834,1236.957709,-7.897232716,-0.572399931,1236.957709,1.636725173,-0.014683989212247735,-1.9630896499919768,6.401783967423998,-0.0146839892122477
1237.057712,,674.786,662.176,1237.057712,-7.981116117,-0.579783772,1237.057712,1.57530882,-0.01868740608133527,-2.75065835954533,6.731076111205115,-0.0186874060813352
1237.157709,,672.84,662.396,1237.157709,-6.936720197,-0.487850764,1237.157709,1.55679615,-0.015522263836870687,-4.111569112980399,6.01821139828183,-0.0155222638368706
1237.257707,,671.889,662.183,1237.257707,-3.718420182,-0.20455973,1237.257707,0.32009276,-0.014445838523922876,-2.911903898726645,5.369791494374518,-0.0144458385239228
1237.357711,,673.956,664.844,1237.357711,2.553160627,0.347496513,1237.357711,1.590417324,-0.013520170456231514,0.1892300111475736,5.089769185149955,-0.0135201704562315
1237.457706,,670.741,668.788,1237.457706,12.08942637,1.186926827,1237.457706,1.681938302,-0.002911705114194562,3.4035004638310613,4.573346626432853,-0.0029117051141945
1237.557705,,671.721,684.035,1237.557705,24.03361895,2.23831503,1237.557705,1.602611999,0.018332015822045113,11.843692089298806,4.200603185092826,0.0183320158220451
1237.657704,,673.284,687.591,1237.657704,36.39724229,3.32662365,1237.657704,1.636821454,0.021249576701659355,33.18551742752917,5.178151944449167,0.0212495767016593
1237.757708,,672.793,731.639,1237.757708,46.51422604,4.217171697,1237.757708,0.0,0.08746523819361973,60.58546430784742,7.220638623604693,0.0874652381936197
1237.857701,,677.205,743.162,1237.857701,51.9724599,4.697633031,1237.857701,0.0,0.09739591408805308,73.38931119365857,8.171452900624223,0.097395914088053
1237.957705,,673.774,722.881,1237.957705,51.60397631,4.665197243,1237.957705,0.0,0.07288348912246535,62.67042950174034,6.875473570394944,0.0728834891224653
1238.057701,,671.593,707.303,1238.057701,45.92924546,4.16567875,1238.057701,1.529252848,0.05317208487878825,42.09748139771254,5.06658454043988,0.0531720848787882
1238.157701,,672.964,696.315,1238.157701,36.80048809,3.362119384,1238.157701,0.0,0.03469873574217937,27.7040282822518,5.055700044694162,0.0346987357421793
1238.257701,,674.424,686.139,1238.257701,26.55936624,2.460644074,1238.257701,0.0,0.01737037827835313,21.213345531348818,6.778444764180527,0.0173703782783531
1238.3577,,674.82,680.587,1238.3577,17.23195402,1.639598103,1238.3577,0.0,0.008545982632405587,16.772121490162508,8.453479807048188,0.0085459826324055
1238.457701,,677.235,678.939,1238.457701,10.0794895,1.010002024,1238.457701,2.984607977,0.002516113313694583,11.680775275345184,9.017196066699302,0.0025161133136945
1238.557702,,675.801,672.595,1238.557702,5.53462051,0.609939683,1238.557702,0.0,-0.004744000082864655,7.297672386441708,8.76489651085709,-0.0047440000828646
1238.657699,,674.878,670.95,1238.657699,3.38295372,0.420539096,1238.657699,0.29112407,-0.005820311226621696,5.680590453076824,8.243239061887314,-0.0058203112266216
1238.757696,,676.004,671.974,1238.757696,3.028195196,0.389311457,1238.757696,0.300634411,-0.005961503186371638,6.652420069711657,7.579883479660377,-0.0059615031863716
1238.857697,,673.859,673.085,1238.857697,3.740604155,0.452021295,1238.857697,0.291791962,-0.0011486082400027318,7.2605763012209374,7.087877395914631,-0.0011486082400027
1238.957699,,674.377,672.17,1238.957699,4.837415419,0.548568166,1238.957699,0.0,-0.003272650164522209,5.751927568266707,7.520784429929737,-0.0032726501645222
1239.057699,,677.169,669.671,1239.057699,5.767732915,0.630459415,1239.057699,0.0,-0.011072568295358963,4.82158332152343,8.938147942917885,-0.0110725682953589
1239.157698,,676.606,671.806,1239.157698,6.122833205,0.661717137,1239.157698,1.513626422,-0.007094232093714739,7.29993807363117,10.060358489035623,-0.0070942320937147
1239.257694,,677.184,677.585,1239.257694,5.645364983,0.619687971,1239.257694,0.291817712,0.0005921581135999482,10.359969035339812,9.480397958144197,0.0005921581135999
1239.357697,,674.366,674.311,1239.357697,4.281963258,0.499674459,1239.357697,0.283438614,-8.155808566853902e-05,8.832430835874531,7.194252722062839,-8.155808566853902e-05
1239.457694,,672.178,667.662,1239.457694,2.223474161,0.318475844,1239.457694,0.30992299,-0.006718458503551087,2.9275877520698232,4.713517321425219,-0.006718458503551
1239.557691,,670.737,663.467,1239.557691,-0.155617448,0.109056176,1239.557691,0.601250601,-0.010838823562737679,-2.236396649735951,3.693094385335276,-0.0108388235627376
1239.657693,,671.765,662.183,1239.657693,-2.452303582,-0.093109747,1239.657693,1.527096883,-0.01426391669705923,-3.7741012975937616,4.324809192995893,-0.0142639166970592
1239.757696,,672.592,662.208,1239.757696,-4.380705896,-0.262857466,1239.757696,0.620059059,-0.015438780122273257,-3.4187485436658545,5.231824113325149,-0.0154387801222732
1239.857696,,672.447,661.61,1239.857696,-5.819350476,-0.389494234,1239.857696,0.310039219,-0.016115768231548342,-3.5648861097171407,5.02458039320719,-0.0161157682315483
1239.957689,,670.408,661.342,1239.957689,-6.759232657,-0.472227414,1239.957689,2.246163581,-0.013523108316129925,-4.495020722380982,3.5856668315114417,-0.0135231083161299
1240.057687,,669.803,660.03,1240.057687,-7.215604894,-0.512399605,1240.057687,1.654147601,-0.014590857311776784,-5.492021122486853,1.899416246195396,-0.0145908573117767
1240.157678,,668.255,659.221,1240.157678,-7.170309425,-0.508412469,1240.157678,1.556841939,-0.013518791479300555,-6.267716755954844,1.1577527337263214,-0.0135187914793005
1240.257673,,668.836,659.015,1240.257673,-6.575829455,-0.456083337,1240.257673,1.686117031,-0.014683719177795493,-6.6003874208375946,1.8229643334626189,-0.0146837191777954
1240.357668,,670.725,660.262,1240.357668,-5.408952334,-0.353368915,1240.357668,1.556841939,-0.015599537813560072,-5.776504007023244,3.1158513634754645,-0.01559953781356
1240.457663,,671.262,661.006,1240.457663,-3.734448838,-0.205970653,1240.457663,0.300616191,-0.015278684030974453,-3.485578410178962,3.810610115014816,-0.0152786840309744
1240.557658,,670.661,665.533,1240.557658,-1.735477337,-0.030011077,1240.557658,0.310010153,-0.007646187865404324,-0.7413881117050606,3.6325454603823903,-0.0076461878654043
1240.657658,,670.421,667.591,1240.657658,0.31298188,0.150304657,1240.657658,1.575881781,-0.0042212281536527655,1.3993999003641533,3.221147738616794,-0.0042212281536527
1240.757651,,670.728,667.791,1240.757651,2.116519831,0.309061184,1240.757651,0.0,-0.004378824202955443,3.3351162907781955,2.9929908429025134,-0.0043788242029554
1240.857646,,669.971,670.84,1240.857646,3.446880275,0.426166234,1240.857646,0.0,0.001297071067255192,5.501501427261603,2.9184174494243527,0.0012970710672551
1240.957643,,670.251,674.18,1240.957643,4.214389131,0.493726243,1240.957643,1.621793181,0.005861983048141627,6.780010724708774,2.988384359835677,0.0058619830481416
1241.057641,,670.439,670.024,1241.057641,4.503449117,0.519170764,1241.057641,0.0,-0.0006189974031939724,6.182170169258646,3.085515030381042,-0.0006189974031939
1241.157637,,670.33,670.35,1241.157637,4.540731744,0.52245257,1241.157637,1.677141627,2.9836050900275697e-05,4.579938648641957,2.900119060149482,2.9836050900275697e-05
1241.257631,,669.773,670.0,1241.257631,4.593246362,0.527075172,1241.257631,0.309952039,0.0003389207985391699,3.5835805652764727,2.585097953848832,0.0003389207985391
1241.357625,,670.326,669.342,1241.357625,4.844020097,0.549149543,1241.357625,3.072393146,-0.001467942463816169,4.128499449891235,2.8703495727622164,-0.0014679424638161
1241.457624,,670.912,670.747,1241.457624,5.308884625,0.590069269,1241.457624,6.49953967,-0.000245933892969685,6.049672819097083,3.965079110764832,-0.0002459338929696
1241.557619,,672.622,674.588,1241.557619,5.832982943,0.636203052,1241.557619,0.309884267,0.0029228898251915762,7.898222747411117,5.0466918413398805,0.0029228898251915
1241.657616,,673.285,673.66,1241.657616,6.163424104,0.665290153,1241.657616,1.575881781,0.0005569706736374641,8.19762107627624,5.469452768042192,0.0005569706736374
1241.757607,,671.728,672.008,1241.757607,6.05324075,0.655591257,1241.757607,0.300634411,0.0004168353857515042,7.3343534366161105,5.675336786448925,0.0004168353857515
1241.857604,,674.728,673.368,1241.857604,5.346762297,0.593403453,1241.857604,5.288624298,-0.0020156270378580703,6.7776339192693245,6.212186800956074,-0.002015627037858
1241.957597,,673.522,671.357,1241.957597,4.030544092,0.477543274,1241.957597,1.52920787,-0.0032144458532907274,6.622820827085276,6.802002325327982,-0.0032144458532907
1242.057599,,674.462,671.72,1242.057599,2.253743764,0.321140328,1242.057599,3.249566724,-0.004065462546444369,5.38346445708381,7.098910485076746,-0.0040654625464443
1242.157593,,675.105,666.871,1242.157593,0.306566317,0.149739927,1242.157593,3.165402866,-0.01219662126632159,2.1260469588428315,7.413223665278152,-0.0121966212663215
1242.257587,,674.399,664.254,1242.257587,-1.462771626,-0.006006142,1242.257587,3.072393146,-0.01504302349202769,-1.9480920172856229,8.002149550498546,-0.0150430234920276
1242.357579,,677.032,661.516,1242.357579,-2.780720869,-0.122018696,1242.357579,3.150999521,-0.022917675973957028,-4.259664157145598,8.37158149881979,-0.022917675973957
1242.45758,,673.779,660.511,1242.45758,-3.568922923,-0.191400225,1242.45758,3.165211035,-0.019691916785771046,-3.524885687222626,7.892083374044467,-0.019691916785771
1242.557574,,675.207,666.12,1242.557574,-3.97323553,-0.226989865,1242.557574,0.0,-0.013458095073066466,-1.428219088147848,6.763843850394275,-0.0134580950730664
1242.657565,,672.748,663.71,1242.657565,-4.270464397,-0.253153452,1242.657565,0.0,-0.013434450938538666,-0.6594619306849303,5.896589042188351,-0.0134344509385386
1242.757564,,672.671,663.97,1242.757564,-4.708241405,-0.291688797,1242.757564,1.603971791,-0.012935000914265698,-1.7838484840225448,5.812272912358576,-0.0129350009142656
1242.857563,,674.388,662.43,1242.857563,-5.376766022,-0.350535713,1242.857563,1.654509536,-0.017731632235449154,-3.429547224475795,5.994364845921198,-0.0177316322354491
1242.957554,,671.866,660.092,1242.957554,-6.175177553,-0.420815931,1242.957554,3.35525733,-0.017524327767739403,-4.846073958733895,5.578517476557944,-0.0175243277677394
