Time,Position
15235.187,759;215
15270.169,746;215
15302.054,746;215
15335.949,746;215
15370.364,759;215
15402.266,760;215
15435.293,747;215
15470.719,760;215
15502.611,760;215
15536.506,746;216
15570.922,747;215
15602.813,747;216
15636.466,746;216
15670.177,761;216
15702.655,747;216
15735.545,747;216
15770.049,747;216
15802.933,761;216
15835.923,761;216
15869.329,747;215
15902.217,747;215
15937.102,760;216
15969.52,760;216
16002.41,761;216
16037.296,760;216
16068.717,747;216
16102.595,760;216
16135.925,747;216
16169.242,747;216
16202.164,747;216
16236.052,747;216
16271.339,747;216
16302.908,747;216
16336.003,747;216
16370.416,747;216
16402.307,747;216
16437.199,747;216
16469.617,747;216
16502.516,747;216
16535.397,747;216
16570.806,747;216
16602.765,747;216
16635.75,747;216
16671.136,747;216
16703.028,760;216
16736.916,747;216
16769.921,747;216
16803.806,747;216
16835.708,747;216
16871.12,747;216
16903.003,747;216
16935.902,747;216
16969.333,760;216
17003.231,747;216
17037.115,760;216
17070.657,746;216
17102.548,759;216
17136.443,745;216
17169.865,758;216
17202.763,758;216
17235.932,746;215
17271.269,745;216
17303.154,759;216
17336.151,759;216
17369.721,745;216
17402.62,746;216
17436.505,746;215
17470.911,760;215
17502.999,747;215
17536.894,748;215
17569.95,760;216
17603.021,760;215
17636.55,760;215
17670.965,760;216
17702.848,760;216
17735.751,760;215
17769.225,760;216
17803.025,760;215
17835.924,748;216
17871.327,760;216
17903.219,761;216
17936.111,761;216
17969.553,748;216
18002.443,761;216
18036.33,761;216
18070.867,761;216
18102.759,761;216
18136.145,760;216
18170.426,760;216
18202.665,760;216
18235.784,760;216
18269.767,760;216
18302.673,760;216
18335.649,760;216
18370.985,760;216
18402.87,760;216
18436.765,760;216
18470.709,760;216
18503.843,760;216
18535.736,760;216
18570.652,760;216
18602.543,761;216
18636.438,761;216
18669.859,761;216
18702.945,760;216
18735.972,746;216
18770.935,760;216
18802.845,760;216
18836.741,761;216
18871.155,761;216
18904.035,761;216
18937.004,761;216
18969.542,761;216
19003.502,761;216
19036.615,761;216
19070.65,761;216
19104.54,761;216
19137.434,761;216
19170.841,761;216
19202.734,761;216
19236.65,761;216
19271.072,761;216
19303.034,761;216
19337.128,761;216
19370.342,761;216
19403.243,761;216
19436.13,760;216
19471.361,760;216
19503.246,760;216
19536.136,760;216
19572.182,761;216
19603.076,761;216
19636.064,761;216
19672.493,761;216
19703.386,761;216
19736.285,761;216
19769.678,761;216
19803.565,747;216
19837.459,755;216
19870.881,756;216
19902.773,746;216
19936.669,756;216
19970.075,756;216
20002.975,756;215
20036.86,756;215
20072.286,757;216
20104.177,757;215
20137.075,758;215
20170.617,746;216
20203.36,759;215
20236.218,759;215
20269.644,760;216
20303.615,760;216
20336.462,760;216
20371.289,760;217
20403.248,759;217
20436.441,759;217
20471.842,759;217
20503.734,758;217
20536.632,758;217
20571.116,759;217
20603.515,759;217
20636.405,759;217
20670.499,759;217
20703.471,759;217
20736.778,760;217
20771.724,760;217
20803.608,760;217
20837.496,760;217
20870.012,760;217
20903.898,760;217
20936.647,760;217
20969.63,760;217
21003.633,749;217
21037.138,761;217
21071.609,760;217
21103.493,749;217
21137.386,760;217
21171.061,748;217
21202.945,747;217
21236.869,746;218
21271.282,746;218
21303.257,746;217
21336.056,746;217
21370.469,746;217
21403.082,746;217
21436.977,745;218
21471.688,745;218
21503.581,745;218
21536.525,744;217
21571.961,745;218
21603.85,744;218
21636.741,744;217
21670.172,744;216
21704.058,745;216
21737.953,745;217
21769.866,746;217
21803.752,746;217
21836.651,746;217
21870.701,746;217
21903.589,746;216
21936.488,746;216
21969.595,746;217
22003.565,754;217
22036.38,754;217
22071.803,746;217
22103.696,746;217
22136.593,746;217
22169.998,746;217
22203.965,746;217
22236.92,746;217
22271.322,746;217
22303.213,746;217
22337.109,746;217
22371.364,746;217
22403.951,745;217
22437.846,745;217
22471.831,759;217
22503.725,745;217
22536.622,745;218
22571.059,746;218
22604.072,744;217
22637.969,744;216
22671.396,745;216
22703.279,744;215
22737.174,743;215
22772.592,743;214
22803.61,743;214
22837.505,744;214
22870.92,744;214
22903.882,744;214
22936.699,745;214
22970.114,745;214
23003.999,745;214
23036.881,745;214
23070.31,745;214
23103.199,745;214
23136.763,745;214
23172.181,745;214
23203.075,745;214
23236.962,745;214
23272.373,745;214
23303.267,745;214
23338.16,745;214
23371.6,745;214
23403.484,745;214
23437.379,745;214
23470.81,745;214
23503.78,745;214
23536.718,745;214
23572.145,745;214
23604.035,745;214
23636.967,745;214
23671.392,745;214
23703.488,745;215
23737.382,745;215
23770.772,745;214
23803.954,745;214
23837.791,745;214
23870.936,744;215
23903.825,744;215
23936.724,744;215
23970.122,745;215
24004.02,745;215
24036.909,745;215
24073.324,745;215
24104.218,745;215
24137.379,746;216
24170.731,747;215
24203.627,747;215
24237.522,747;216
24271.307,747;215
24303.203,747;216
24337.098,747;215
24372.512,747;215
24403.489,747;216
24437.3,747;215
24471.189,747;215
24503.54,747;215
24538.428,747;215
24571.837,747;215
24603.733,747;215
24637.628,747;215
24671.51,747;215
24704.23,747;215
24738.118,747;215
24771.537,747;215
24803.587,747;216
24838.472,747;216
24871.889,748;215
24903.785,747;215
24936.939,747;215
24970.783,747;215
25004.353,748;215
25037.451,747;216
25070.476,747;215
25104.349,747;216
25137.173,747;216
25171.079,747;216
25203.744,747;215
25237.823,747;216
25270.733,747;216
25304.544,747;216
25337.442,747;216
25371.332,747;216
25404.628,747;216
25437.527,748;216
25470.411,759;216
25504.883,749;216
25538.825,749;216
25571.714,749;216
25604.533,750;216
25637.347,750;216
25671.25,750;216
25704.731,762;216
25738.539,761;216
25770.437,759;216
25803.913,750;217
25837.73,758;216
25870.825,758;217
25904.218,758;216
25937.116,749;216
25971.075,758;217
26004.467,761;217
26037.366,758;217
26072.246,749;216
26104.654,749;216
26137.544,749;216
26170.436,749;217
26203.845,749;217
26237.329,749;217
26272.612,749;217
26304.024,749;216
26337.911,758;217
26371.816,761;217
26404.221,761;217
26438.116,761;217
26472.105,749;216
26504.522,748;217
26538.409,748;217
26573.382,748;216
26603.799,748;216
26637.686,747;216
26671.597,748;217
26704.015,748;217
26737.903,748;217
26771.965,748;217
26804.374,748;217
26838.269,748;217
26873.163,748;217
26904.656,748;216
26937.458,748;217
26971.35,748;217
27004.775,749;217
27038.662,749;216
27071.575,748;217
27104.2,748;217
27138.013,748;217
27171.909,748;217
27204.472,748;217
27237.094,748;217
27271.779,748;217
27304.181,748;217
27338.068,748;217
27371.979,748;217
27404.481,748;217
27437.286,749;217
27472.172,748;217
27504.589,748;217
27537.487,748;217
27572.51,748;217
27604.143,748;217
27638.039,748;217
27672.918,748;217
27704.348,748;217
27738.244,747;217
27771.146,747;217
27804.555,760;217
27837.445,760;217
27873.419,759;217
27904.823,759;216
27937.745,758;217
27970.644,758;217
28004.066,758;217
28039.055,758;217
28072.957,759;217
28104.366,759;217
28137.857,760;217
28170.932,760;216
28204.635,760;216
28237.517,760;217
28271.431,760;217
28304.333,760;217
28338.219,759;216
28371.111,758;217
28404.563,758;217
28437.464,758;217
28472.357,757;217
28505.058,757;217
28537.774,758;217
28571.679,746;217
28605.104,758;217
28638.514,758;216
28672.471,758;217
28704.539,758;217
28738.344,758;217
28772.249,758;217
28804.967,758;217
28837.866,758;217
28872.759,758;217
28905.381,759;217
28938.28,759;217
28971.172,759;217
29004.568,759;218
29039.514,759;217
29071.41,759;217
29104.799,759;217
29138.104,759;217
29171.011,759;217
29204.488,759;217
29238.295,759;217
29272.197,759;217
29304.682,759;217
29338.484,759;217
29371.381,759;217
29404.804,759;217
29437.702,759;217
29472.645,759;217
29505.077,759;217
29537.958,759;217
29573.86,759;217
29605.452,759;217
29639.383,759;217
29672.287,759;217
29704.8,759;217
29737.611,759;217
29771.491,759;217
29804.899,758;217
29838.589,758;217
29873.113,758;217
29905.149,758;217
29938.635,758;217
29971.527,757;216
30004.936,743;216
30038.814,743;216
30072.719,742;216
30105.384,742;215
30138.275,742;215
30171.166,742;215
30204.388,742;215
30238.275,742;215
30272.167,743;215
30305.589,743;215
30338.478,743;215
30371.379,743;214
30404.796,743;214
30437.694,743;214
30471.575,743;214
30505.969,743;214
30538.859,743;214
30572.763,755;214
30605.189,754;214
30638.089,753;214
30672.966,754;214
30705.37,751;214
30739.258,751;214
30773.149,751;214
30807.725,744;214
30839.619,743;215
30872.527,744;214
30905.933,743;215
30938.018,750;215
30971.212,751;215
31004.708,750;215
31038.587,750;215
31072.491,750;215
31104.905,750;215
31138.794,750;215
31173.693,750;215
31205.095,750;215
31237.985,750;215
31271.884,750;215
31305.03,750;215
31338.917,749;215
31372.825,750;215
31405.225,749;215
31439.108,750;215
31472.999,750;215
31505.476,749;215
31538.007,750;215
31572.232,750;215
31606.639,753;215
31638.54,754;215
31671.438,742;215
31704.862,754;214
31738.749,744;215
31771.641,744;215
31804.817,743;214
31838.75,744;214
31872.652,744;214
31905.015,744;214
31938.905,744;214
31971.788,750;214
32006.181,751;215
32039.087,751;214
32073.969,753;215
32105.392,754;215
32138.282,754;215
32172.314,754;215
32205.043,754;215
32237.934,754;215
32272.829,754;215
32305.248,754;215
32338.139,754;215
32372.028,754;215
32404.896,754;215
32439.317,754;215
32473.365,744;215
32505.859,750;215
32538.402,753;215
32572.997,753;215
32605.425,743;215
32639.312,743;215
32672.106,753;215
32705.504,750;215
32740.388,743;215
32772.281,744;215
32805.698,750;215
32838.998,750;215
32872.656,750;215
32905.057,750;215
32938.871,750;215
32971.917,750;215
33005.317,749;215
33039.205,749;215
33074.096,749;215
33105.678,749;215
33138.86,743;215
33171.652,753;215
33205.533,744;215
33239.479,743;215
33272.36,743;215
33305.76,754;215
33338.65,750;215
33372.538,750;215
33405.622,744;215
33439.509,749;215
33472.4,749;215
33505.803,749;215
33539.751,749;215
33573.644,749;215
33606.011,744;215
33638.901,749;215
33673.786,749;215
33706.188,749;215
33739.078,749;215
33772.966,749;215
33805.881,749;215
33839.768,749;215
33872.659,749;215
33906.079,749;215
33939.166,749;215
33972.214,749;215
34005.026,749;215
34039.911,749;215
34072.8,749;215
34105.202,749;215
34138.193,749;215
34173.101,749;215
34205.501,749;215
34239.399,749;215
34273.278,744;215
34305.688,749;215
34338.587,749;215
34372.465,749;215
34405.884,749;216
34438.781,749;215
34473.667,749;215
34506.1,749;215
34538.332,749;215
34572.69,749;215
34606.116,749;215
34639.005,749;215
34672.894,750;215
34705.293,750;215
34739.18,749;215
34773.067,744;215
34805.474,750;215
34839.369,744;215
34875.245,743;215
34905.686,743;215
34939.573,743;216
34972.464,743;215
35006.05,743;215
35039.937,743;215
35072.828,742;215
35105.241,742;216
35139.283,742;216
35173.17,742;216
35205.574,742;216
35239.461,742;215
35273.349,742;215
35305.544,742;215
35339.432,742;215
35372.321,741;215
35405.738,741;215
35439.763,742;215
35472.653,742;215
35506.082,742;215
35541.002,743;215
35572.898,742;215
35606.301,743;215
35639.191,742;215
35674.075,742;215
35705.497,742;215
35738.788,742;215
35773.15,742;215
35805.558,742;215
35840.441,742;215
35873.373,743;215
35906.238,742;215
35940.126,742;215
35973.015,743;215
36006.51,743;215
36039.359,743;215
36074.251,742;215
36105.665,742;215
36139.55,742;215
36173.439,742;215
36205.954,740;215
36240.224,740;215
36273.126,741;215
36305.611,741;215
36339.498,755;215
36374.383,755;215
36405.886,755;215
36439.771,742;215
36474.664,741;215
36506.143,741;215
36540.943,741;214
36572.837,741;215
36606.281,741;215
36640.167,741;215
36674.055,741;215
36706.367,741;215
36740.264,741;215
36775.139,742;215
36805.981,741;215
36839.869,741;214
36874.753,741;214
36906.22,742;214
36939.121,742;214
36972.997,741;213
37006.358,741;213
37041.252,755;214
37073.136,742;214
37106.831,742;214
37140.645,742;214
37173.547,742;214
37206.986,741;214
37238.843,742;214
37273.737,742;214
37308.161,742;214
37340.055,742;214
37372.946,742;214
37406.359,743;215
37440.251,742;215
37474.143,742;215
37505.542,743;214
37539.44,742;214
37574.322,742;215
37605.952,742;215
37639.981,742;215
37673.875,742;215
37706.265,743;215
37740.152,743;214
37774.04,742;214
37806.437,743;214
37840.326,743;215
37873.215,743;215
37905.84,743;215
37939.685,743;215
37972.575,743;215
38006.065,744;215
38039.96,744;215
38073.839,744;215
38106.252,743;215
38140.138,744;215
38173.028,744;215
38206.438,744;215
38239.473,744;215
38274.347,744;215
38306.761,744;215
38339.792,744;215
38373.799,744;215
38407.25,744;215
38440.184,744;215
38474.327,744;215
38506.237,744;215
38540.689,744;215
38572.407,744;215
38605.844,744;215
38639.967,744;215
38673.875,744;215
38706.045,744;215
38740.853,744;215
38773.932,744;215
38806.36,744;215
38840.247,744;215
38874.144,744;215
38906.555,744;215
38939.445,744;215
38973.332,744;215
39006.002,744;215
39040.892,744;215
39073.776,744;215
39106.279,744;215
39140.166,744;215
39175.051,743;215
39206.545,743;216
39239.445,742;216
39273.322,742;215
39306.789,742;215
39339.891,742;215
39372.922,742;214
39406.305,742;214
39439.196,743;215
39473.91,743;215
39507.298,743;215
39540.187,742;215
39574.075,742;215
39606.513,743;215
39640.399,743;215
39673.299,743;215
39706.877,744;215
39739.901,744;215
39774.776,744;215
39806.368,744;215
39840.164,744;215
39875.049,744;215
39906.466,744;215
39940.354,744;215
39973.252,744;215
40005.753,744;215
40039.64,744;215
40074.533,744;215
40106.949,744;215
40139.838,744;215
40173.28,744;215
40206.796,744;215
40239.607,744;215
40274.492,744;215
40306.57,744;215
40339.929,744;215
40375.809,744;215
40406.208,744;215
40440.096,744;215
40473.991,744;215
40506.412,744;215
40541.297,744;215
40573.196,744;215
40606.86,744;215
40640.853,744;215
40674.749,744;215
40706.244,744;215
40741.032,744;215
40772.936,744;215
40806.356,744;215
40839.665,744;215
40873.628,744;215
40906.099,744;215
40940.109,744;215
40973.007,744;215
41006.509,744;215
41040.383,744;215
41074.272,743;215
41106.674,741;214
41140.561,740;214
41173.452,740;214
41207.027,741;215
41239.645,742;215
41274.537,742;215
41306.037,742;215
41339.932,742;214
41374.824,742;214
41407.357,742;214
41440.257,742;215
41475.132,742;214
41506.637,743;214
41540.534,743;214
41574.42,743;214
41606.826,743;214
41640.8,743;215
41674.694,743;215
41706.266,743;215
41740.153,743;215
41774.047,743;215
41807.444,743;214
41840.344,743;214
41875.002,743;214
41907.014,743;214
41940.901,743;215
41972.794,743;215
42006.189,743;215
42041.12,743;215
42074.009,743;215
42107.441,743;215
42141.002,743;215
42174.775,743;215
42206.873,743;215
42239.764,743;215
42274.657,743;215
42307.075,743;214
42339.973,743;215
42374.85,743;215
42406.272,743;215
42441.156,743;215
42475.043,743;215
42506.489,743;215
42541.035,743;215
42574.169,743;215
42607.611,743;215
42640.597,743;215
42674.473,743;215
42706.776,743;215
42741.712,743;215
42773.604,743;215
42807.62,743;214
42841.5,743;215
42875.399,743;215
42906.841,743;215
42940.729,743;215
42973.618,743;215
43007.017,743;215
43040.565,743;215
43073.464,743;215
43107.863,743;215
43140.753,743;215
43174.64,743;215
43206.235,743;215
43240.317,743;215
43274.548,743;214
43306.475,743;215
43341.358,743;215
43374.249,743;215
43406.654,743;215
43440.545,743;215
43474.428,743;215
43506.913,743;215
43540.814,743;215
43573.245,743;215
43607.637,743;215
43640.528,743;215
43674.414,743;215
43707.325,743;215
43741.222,743;215
43775.105,743;215
43807.503,743;215
43841.392,743;215
43874.289,743;215
43906.775,743;215
43940.674,743;215
43973.555,743;215
44006.953,743;215
44040.842,743;215
44074.77,743;215
44107.161,743;215
44140.223,743;214
44174.11,743;215
44207.531,743;215
44240.504,743;215
44275.391,744;215
44307.281,743;215
44341.672,743;215
44375.559,743;215
44407.502,743;215
44440.536,757;216
44474.466,744;216
44506.36,743;215
44540.887,744;215
44574.776,744;215
44607.834,744;215
44641.257,744;215
44675.146,743;215
44707.072,743;215
44740.998,743;215
44774.886,744;215
44807.307,744;215
44841.204,745;215
44874.168,745;215
44907.061,744;216
44940.35,744;216
44974.236,744;215
45007.141,744;216
45040.554,744;216
45074.433,744;215
45107.407,744;215
45140.096,745;216
45173.992,745;216
45207.88,745;215
45240.294,745;215
45274.173,745;215
45307.081,745;215
45340.489,745;215
45375.371,745;215
45407.738,756;215
45440.381,745;215
45474.725,756;215
45506.726,756;215
45540.731,756;216
45574.617,756;215
45607.502,745;216
45640.935,745;216
45674.832,756;215
45707.713,756;215
45741.12,757;216
45774.009,757;215
45807.892,757;215
45840.318,757;215
45875.347,757;216
45907.24,744;216
45940.644,757;216
45973.534,757;215
46007.423,757;216
46041.91,757;215
46074.706,757;215
46107.604,757;215
46141.131,757;216
46175.01,744;216
46207.9,757;215
46241.41,757;216
46274.302,757;216
46308.04,757;216
46340.358,757;215
46375.242,757;216
46408.134,757;216
46440.546,757;216
46475.421,757;216
46507.315,758;216
46540.713,757;216
46574.612,757;216
46607.078,757;215
46640.514,757;216
46674.4,757;215
46707.292,757;215
46741.713,757;216
46774.612,757;216
46807.997,757;215
46841.4,757;216
46875.286,757;216
46907.173,757;216
46940.576,757;216
46973.458,757;216
47007.357,757;216
47040.749,757;216
47073.63,757;216
47107.602,757;216
47141.799,757;216
47174.698,757;216
47207.767,757;216
47241.156,757;216
47275.043,757;216
47307.934,757;216
47340.515,757;216
47374.402,757;216
47408.282,757;216
47441.714,757;216
47475.601,757;216
47507.596,757;216
47540.575,757;216
47574.47,757;216
47607.438,757;216
47641.49,757;216
47675.189,757;216
47707.179,745;216
47741.574,757;216
47774.463,757;216
47807.346,757;216
47841.559,757;216
47874.36,757;216
47907.933,755;215
47941.795,755;216
47974.685,755;216
48007.578,755;215
48042.001,755;215
48074.803,755;215
48107.768,742;215
48141.189,742;215
48174.097,742;215
48207.987,742;215
48241.512,740;215
48275.401,740;214
48307.438,740;214
48340.847,740;214
48374.734,740;214
48407.794,740;214
48441.146,740;214
48476.03,741;214
48507.206,741;214
48541.239,741;214
48576.123,740;214
48608.015,740;214
48640.44,739;214
48675.323,739;214
48708.242,740;214
48742.77,740;214
48774.655,740;214
48807.548,740;214
48841.135,738;214
48875.459,738;213
48907.436,738;213
48941.445,737;213
48974.336,737;213
49008.237,737;212
49043.395,737;212
49074.293,737;212
49108.258,738;212
49140.693,738;212
49175.568,738;213
49207.462,739;213
49241.869,740;213
49275.755,741;213
49307.65,741;214
49342.072,741;213
49375.169,741;213
49408.176,740;214
49442.514,741;213
49475.402,740;213
49507.591,740;213
49540.714,740;213
49574.601,740;213
49607.74,740;213
49641.726,740;213
49674.616,740;214
49707.67,741;213
49741.024,741;213
49775.906,741;214
49807.793,741;214
49840.72,741;214
49875.247,741;214
49908.169,741;214
49942.544,741;214
49974.444,741;214
50008.341,741;214
50041.766,741;214
50076.707,741;214
50107.602,741;214
50140.677,741;214
50175.711,741;214
50207.697,742;214
50241.111,741;214
50275.984,742;214
50307.98,741;214
50342.448,742;214
50374.332,741;214
50408.231,742;214
50441.648,741;214
50476.537,742;214
50508.424,742;214
50541.931,742;214
50575.841,742;214
50607.951,742;214
50641.276,742;214
50677.159,742;214
50708.054,742;214
50741.472,742;214
50775.351,742;214
50808.483,742;214
50842.876,742;214
50875.774,741;214
50907.955,741;214
50941.811,740;214
50975.698,740;214
51008.595,741;213
51042.065,741;214
51074.963,741;214
51107.465,741;214
51141.817,741;214
51175.417,742;213
51208.3,741;213
51241.943,741;213
51275.081,741;213
51307.988,741;213
51341.487,741;213
51376.862,741;213
51407.836,741;213
51441.193,741;213
51476.079,741;213
51507.963,741;213
51541.396,741;213
51575.275,741;213
51608.166,741;213
51640.753,741;213
51674.983,741;213
51708.872,741;213
51742.252,741;213
51775.312,741;213
51808.288,741;213
51841.111,741;213
51874.679,741;213
