Time,Position
14372.408,376;128
14403.996,376;129
14435.912,377;129
14469.423,377;129
14502.93,377;129
14536.932,377;133
14570.941,376;138
14602.455,374;142
14636.455,373;146
14670.456,377;151
14702.974,381;157
14735.974,385;162
14768.975,386;167
14802.521,389;174
14836.521,386;181
14871.523,384;189
14905.063,380;197
14936.046,378;202
14969.072,377;204
15002.57,377;205
15036.492,377;204
15071.486,377;204
15102.727,377;204
15136.729,377;203
15170.729,377;204
15204.257,386;237
15236.256,377;204
15271.256,376;203
15302.777,377;205
15335.775,385;206
15371.776,390;208
15403.325,389;204
15435.325,393;202
15470.325,390;200
15502.968,393;197
15536.979,394;200
15570.969,394;199
15602.48,394;239
15636.48,393;200
15671.481,400;200
15703.134,398;200
15736.142,392;200
15770.134,393;231
15802.643,392;231
15836.644,392;231
15870.644,392;233
15903.288,394;235
15936.29,392;237
15969.296,392;239
16002.807,391;206
16036.848,392;239
16069.848,395;239
16103.371,392;237
16137.371,394;234
16171.372,393;235
16203.91,392;236
16236.921,393;237
16270.91,394;239
16303.418,393;237
16336.418,393;236
16369.419,398;236
16403.784,393;236
16436.782,396;235
16469.782,399;236
16503.312,394;235
16536.312,395;235
16572.312,399;235
16603.566,401;233
16636.635,405;232
16670.626,405;233
16704.153,405;234
16736.162,405;234
16771.161,406;234
16803.432,398;198
16836.432,404;233
16872.433,402;231
16902.951,404;231
16936.952,405;231
16969.96,401;227
17004.473,400;230
17036.481,396;197
17070.472,397;201
17103.022,399;209
17136.159,399;215
17171.15,399;221
17204.086,401;236
17237.086,406;256
17272.086,414;310
17303.583,421;302
17337.583,430;364
17371.591,434;393
17404.117,432;385
17437.118,437;435
17470.119,441;452
17503.631,450;471
17536.638,456;487
17571.631,465;503
17603.14,469;521
17636.147,473;543
17671.149,472;568
17703.662,467;593
17736.671,471;611
17771.526,483;626
17803.019,494;640
17836.946,501;646
17870.947,509;658
17903.471,507;664
17937.471,505;668
17970.47,500;670
18002.989,500;670
18035.997,504;666
18069.989,507;664
18103.597,509;664
18136.597,509;664
18171.598,510;664
18204.119,513;663
18236.12,518;659
