Time,Position
15303.002,264;856
15337.103,264;865
15369.779,263;868
15402.698,262;865
15436.699,263;861
15468.891,263;855
15502.891,263;852
15536.959,262;862
15569.635,264;855
15603.912,411;829
15636.904,264;855
15669.508,262;853
15703.53,265;851
15735.53,261;850
15769.229,258;851
15802.238,263;889
15836.229,260;888
15869.739,263;869
15903.748,262;872
15936.739,264;876
15970.43,264;856
16003.428,263;850
16036.428,262;846
16070.019,262;860
16103.028,260;855
16137.02,265;852
16169.718,263;877
16203.71,263;868
16237.914,256;854
16269.413,260;855
16302.422,264;852
16336.413,262;850
16368.929,260;863
16402.931,263;852
16435.989,262;854
16469.571,264;854
16502.5,263;849
16538.493,264;867
16570.008,264;860
16603.007,262;850
16637.015,263;853
16669.547,264;850
16702.548,262;855
16735.63,263;856
16769.827,264;854
16803.955,263;852
16836.955,262;850
16869.464,259;851
16903.464,260;855
16938.465,263;850
16970.83,266;855
17002.83,263;863
17036.83,263;855
17069.341,263;853
17102.341,263;852
17137.342,263;853
17169.946,263;854
17202.947,263;857
17237.947,263;851
17270.052,265;855
17304.149,263;858
17337.149,259;862
17369.659,263;863
17403.66,265;864
17437.794,262;851
17469.299,262;859
17502.969,263;851
17538.057,263;849
17569.67,264;850
17602.68,255;852
17637.669,265;854
17670.189,263;856
17703.18,262;855
17736.18,262;852
17769.648,265;848
17802.661,264;850
17836.801,265;850
17870.312,263;851
17903.313,258;862
17936.313,262;853
17970.05,264;872
18003.051,264;887
18036.05,262;880
18069.57,263;849
18103.577,263;848
18137.576,265;850
18169.082,260;850
18203.22,264;873
18236.211,263;867
18269.744,267;867
18304.806,265;866
18338.065,263;851
18369.813,271;856
18403.738,264;850
18437.372,256;853
18469.975,263;851
18503.974,264;867
18538.974,263;865
18570.487,264;853
18603.485,264;852
18637.477,260;857
18669.993,261;849
18703.993,263;851
18735.993,263;851
18770.491,266;855
18804.499,263;853
18837.499,258;858
18869.999,263;860
18903.013,265;851
18938,263;851
18969.52,262;849
19003.511,266;858
19037.671,263;850
19070.284,263;874
19103.202,264;859
19137.192,264;863
19169.7,263;850
19204.708,263;860
19238.701,264;851
19270.223,263;856
19303.294,264;859
19338.296,259;857
19369.826,264;852
19403.826,264;852
19437.826,265;850
19469.191,264;860
19506.192,264;855
19537.19,264;850
19569.698,259;861
19603.698,255;856
19637.698,263;856
19670.386,263;853
19703.395,263;880
19736.395,263;884
19769.535,263;890
19803.807,263;887
19836.949,263;863
19870.488,264;896
19903.487,266;899
19937.486,263;898
19970.985,262;885
20002.994,262;884
20037.985,263;887
20070.296,265;893
20103.304,264;875
20138.297,258;856
20169.906,263;861
20203.906,263;880
20237.898,262;880
20270.405,263;879
20303.463,263;879
20338.454,263;875
20371.145,264;872
20405.145,261;872
20438.136,263;868
20469.83,264;863
20502.765,267;866
20536.756,263;876
20570.364,265;869
20604.597,259;869
20637.587,263;868
20670.01,266;868
20704.021,263;870
20736.019,265;872
20769.622,263;872
20805.533,264;873
20837.531,264;875
20870.041,262;872
20904.049,262;869
20938.042,263;868
20970.549,257;868
21003.558,264;873
21037.549,264;875
21070.057,265;876
21105.067,263;875
21137.066,264;871
21170.586,266;859
21203.586,411;829
21237.109,262;855
21269.62,267;870
21304.628,262;867
21337.62,263;873
21370.138,264;873
21404.145,263;869
21437.137,263;872
21470.73,262;855
21503.738,264;856
21538.738,411;829
21570.236,265;871
21603.26,262;866
21637.261,263;867
21669.792,265;868
21705.785,263;868
21736.783,263;857
21770.315,263;857
21803.315,262;856
21837.316,264;859
21870.425,411;836
21903.416,265;868
21937.511,265;868
21970.471,261;856
22003.462,266;869
22039.529,263;870
22071.034,263;866
22104.034,262;865
22138.034,263;870
22170.433,262;866
22203.565,264;868
22238.557,266;858
22270.86,264;867
22303.861,262;870
22338.86,262;868
22370.387,262;870
22403.387,262;869
22438.394,264;868
22469.897,264;869
22504.897,266;869
22537.896,262;858
22570.343,262;856
22604.343,264;870
22637.343,265;857
22670.863,266;857
22703.85,263;872
22737.85,256;891
22770.365,264;894
22804.554,263;891
22836.551,263;891
22870.181,265;891
22904.173,256;891
22938.181,260;886
22970.708,262;885
23003.7,263;886
23039.714,264;884
23070.211,264;883
23104.471,262;883
23137.47,266;879
23170.702,265;882
23203.71,265;883
23237.926,263;882
23270.52,264;882
23303.531,263;881
23338.521,286;881
23371.03,262;882
23404.031,284;882
23439.031,264;882
23470.699,286;880
23503.629,264;880
23540.632,263;878
23570.143,264;881
23604.288,263;880
23638.279,261;882
23670.789,263;880
23703.798,266;882
23736.796,262;881
23770.311,262;881
23804.319,266;880
23839.319,264;879
23870.91,263;879
23903.833,261;881
23938.825,263;878
23970.702,264;879
24003.756,263;880
24040.763,264;880
24071.28,264;880
24103.391,264;879
24137.393,286;878
24170.717,264;879
24204.717,265;879
24238.716,264;881
24271.224,269;882
24304.232,262;879
24338.224,262;881
24370.731,261;882
24403.741,262;879
24437.734,258;880
24470.917,265;879
24503.939,266;881
24538.94,261;880
24570.535,264;878
24604.109,264;880
24637.109,256;878
24670.622,262;879
24704.627,263;880
24737.619,265;880
24770.125,263;879
24804.126,262;882
24837.125,263;879
24871.157,264;880
24904.34,264;882
24938.334,256;879
24970.925,256;879
25003.847,263;880
25037.676,262;879
25070.561,263;879
25104.577,264;880
25138.577,263;878
25170.088,265;879
25204.098,263;877
25238.089,263;880
25270.892,265;878
25303.633,269;879
25337.89,264;881
25370.744,262;880
25403.763,263;878
25437.762,264;878
25470.86,266;880
25503.873,264;879
25538.873,263;878
25570.306,258;880
25604.306,265;879
25637.305,264;880
25670.76,262;879
25704.754,263;882
25737.756,263;881
25770.261,263;878
25804.26,263;880
25839.261,263;878
25871.059,261;878
25905.975,264;878
25938.974,263;878
25970.757,264;878
26004.757,265;879
26037.758,266;880
26071.364,265;881
26104.364,262;879
26138.364,263;877
26171.005,257;880
26205.062,263;879
26238.054,256;879
26270.558,263;879
26305.559,263;877
26338.558,261;879
26371.261,263;878
26404.271,263;877
26439.315,262;878
26470.822,263;874
26504.822,262;878
26539.822,263;878
26571.411,264;878
26604.381,266;878
26638.382,261;878
26670.978,263;877
26706.88,263;877
26737.88,263;878
26771.401,261;876
26804.409,264;877
26839.401,263;878
26871.668,263;877
26904.677,262;876
26938.669,262;877
26972.185,260;876
27005.184,263;877
27040.183,265;878
27071.691,266;876
27104.7,264;877
27138.692,263;877
27170.955,263;877
27204.963,264;876
27237.964,264;876
27271.477,264;874
27305.754,267;876
27339.016,263;878
27371.542,263;878
27404.542,265;879
27437.551,262;877
27471.571,263;877
27504.562,256;876
27538.563,264;876
27571.165,264;876
27604.175,261;875
27640.167,263;875
27671.758,264;878
27704.758,263;876
27737.845,264;875
27771.44,266;874
27805.452,258;878
27840.44,262;876
27870.718,263;879
27904.714,264;876
27938.707,261;875
27970.726,265;877
28004.719,263;877
28037.726,263;876
28071.404,262;876
28104.412,264;874
28138.404,259;876
28172.041,263;877
28205.042,264;875
28238.041,263;875
28271.545,264;876
28306.552,264;875
28338.553,262;874
28371.144,262;869
28405.145,263;873
28438.146,267;874
28470.657,262;875
28504.657,260;873
28538.656,263;872
28571.25,264;874
28607.253,264;871
28638.25,287;864
28671.662,266;872
28704.435,263;872
28737.434,262;874
28770.958,263;870
28804.958,262;874
28838.958,263;871
28871.504,264;872
28906.507,263;872
28939.507,267;876
28972.015,263;872
29005.015,263;872
29040.022,264;870
29071.61,263;871
29105.353,264;877
29138.35,264;874
29170.864,264;873
29204.864,263;873
29237.863,263;874
29271.462,262;872
29305.463,261;873
29338.506,284;871
29372.037,263;873
29405.037,263;873
29438.037,264;873
29471.267,259;874
29507.274,263;877
29538.275,263;873
29571.774,285;871
29604.785,264;873
29638.776,263;871
29671.31,270;872
29705.31,260;872
29738.311,264;871
29771.432,270;872
29807.431,262;863
29838.424,265;872
29870.929,288;874
29906.938,263;872
29939.93,264;871
29971.438,262;872
30004.447,263;870
30038.194,261;873
30070.843,262;871
30105.762,263;873
30138.762,265;871
30171.298,264;869
30207.298,263;875
30239.328,265;874
30271.929,265;871
30304.845,285;868
30338.838,262;872
30371.346,263;870
30404.346,263;872
30440.352,266;872
30472.87,262;873
30504.877,264;872
30538.876,262;871
30571.563,263;870
30605.553,259;874
30638.554,263;874
30671.601,262;874
30704.712,262;872
30737.711,263;864
30771.588,263;870
30805.518,269;871
30840.514,263;869
30871.027,263;871
30906.036,262;875
30939.028,265;872
30971.595,263;873
31004.714,265;870
31038.722,262;871
31071.906,263;872
31104.908,263;871
31139.911,263;872
31171.466,264;871
31205.457,265;872
31241.459,286;871
31272.975,266;873
31305.975,264;871
31340.977,265;872
31372.487,263;874
31405.231,263;870
31438.742,268;874
31471.361,262;873
31505.558,262;872
31538.558,263;871
31571.741,265;869
31604.74,262;861
31638.749,262;874
31672.291,264;870
31706.29,258;874
31738.291,266;871
31771.816,263;873
31805.816,263;863
31838.817,264;875
31872.346,264;875
31906.346,263;875
31940.346,260;863
31971.844,263;865
32004.853,264;871
32038.853,263;875
32071.36,263;877
32106.776,263;862
32138.775,265;869
32171.971,264;870
32204.961,263;858
32238.962,264;855
32271.561,267;856
32306.562,262;858
32338.703,263;857
32372.208,262;851
32405.2,264;857
32439.209,257;858
32472.33,259;858
32508.321,285;868
32539.321,264;872
32571.828,267;873
32605.837,260;855
32638.827,263;856
32672.344,266;857
32705.344,263;864
32738.344,263;861
32772.394,263;870
32806.316,261;853
32839.323,264;856
32871.821,259;853
32905.829,262;848
32940.821,264;851
32972.426,263;856
33005.435,263;857
33040.435,261;858
33072.626,263;853
33105.556,265;848
33140.554,263;854
33171.791,260;848
33205.799,261;855
33239.8,263;856
33278.109,264;857
33305.117,262;855
33342.116,263;856
33372.698,263;855
33405.625,263;851
33438.617,258;855
33472.239,260;848
33506.24,265;856
33541.24,262;855
33571.739,263;855
33605.739,261;870
33640.742,263;857
33672.388,263;855
33705.397,264;851
33739.396,284;855
33771.896,263;853
33806.911,264;869
33839.896,261;863
33872.491,263;874
33905.411,263;853
33940.402,265;854
33971.907,263;841
34005.916,266;853
34040.907,263;852
34072.416,262;851
34104.789,263;853
34139.521,262;856
34172.056,265;854
34205.053,264;853
34239.053,264;853
34272.651,268;849
34305.573,263;851
34340.573,264;853
34372.07,256;847
34405.079,263;848
34441.073,261;847
34472.821,262;850
34506.739,264;848
34539.739,259;841
34572.247,268;854
34608.255,262;851
34640.257,263;849
34671.78,264;847
34706.774,263;844
34738.859,263;844
34772.277,264;843
34806.286,262;842
34840.278,256;851
34872.787,264;847
34906.795,259;848
34939.788,262;847
34972.319,263;842
35007.32,263;843
35039.32,265;844
35072.036,263;843
35105.961,286;842
35139.961,263;842
35171.554,263;843
35205.563,264;846
35242.57,262;841
35273.069,263;843
35306.079,264;844
35341.334,263;845
35373.522,264;844
35405.445,264;842
35441.439,264;840
35472.322,262;840
35505.324,257;841
35538.324,264;850
35572.275,263;849
35605.347,264;851
35640.35,264;869
35671.86,262;853
35705.876,255;849
35738.876,264;843
35771.946,262;840
35806.139,257;849
35840.131,263;845
35872.665,262;851
35905.68,263;847
35940.672,262;847
35972.174,262;847
36006.185,262;844
36041.185,263;844
36073.101,263;847
36106.108,264;843
36140.101,263;845
36172.748,262;846
36205.764,270;846
36239.765,263;846
36272.276,264;842
36307.286,263;844
36340.277,264;839
36372.784,264;845
36405.787,265;844
36439.862,263;846
36472.377,269;847
36506.684,263;858
36541.677,265;845
36572.688,260;847
36606.121,267;841
36640.113,264;840
36672.62,264;850
36705.633,259;843
36739.699,262;845
36773.126,261;846
36806.129,265;845
36841.128,264;845
36871.553,257;843
36906.067,262;848
36941.059,264;842
36973.153,264;849
37006.288,258;850
37041.29,265;845
37072.282,273;846
37105.794,263;852
37140.787,260;844
37171.88,257;850
37205.387,263;848
37239.394,263;844
37272.388,263;843
37306.621,257;844
37340.612,264;848
37372.622,263;844
37406.954,262;849
37438.945,263;842
37472.055,264;842
37506.565,264;842
37541.644,262;851
37572.726,264;844
37606.232,265;844
37640.222,263;858
37672.321,262;852
37706.839,264;842
37738.829,263;846
37772.841,263;850
37807.974,263;844
37839.981,263;850
37872.984,266;852
37906.01,265;847
37940.009,263;845
37973.019,264;847
38006.174,263;841
38040.173,264;879
38073.264,262;844
38106.721,258;850
38140.71,264;847
38172.794,263;846
38207.694,262;843
38240.466,262;848
38272.461,264;846
38306.568,262;849
38341.575,264;843
38372.568,261;845
38406.726,262;856
38440.718,265;859
38472.727,263;855
38506.818,263;883
38540.811,262;875
38572.813,257;870
38606.324,256;872
38640.316,263;878
38673.414,264;881
38705.944,260;890
38738.943,262;896
38772.937,261;895
38806.442,263;898
38841.443,263;898
38873.483,264;899
38906.022,262;900
38940.004,260;901
38973.015,264;900
39006.132,287;899
39040.13,264;901
39073.133,262;901
39107.214,261;901
39140.195,263;903
39173.187,264;902
39206.523,283;902
39240.522,262;902
39273.516,262;901
39306.033,264;901
39340.044,263;900
39373.046,262;899
39407.165,262;897
39441.158,259;897
39473.158,263;896
39506.672,262;896
39539.808,264;898
39572.875,265;894
39606.027,259;895
39641.028,259;894
39673.037,263;895
39706.191,263;895
39740.189,264;895
39773.19,263;894
39806.335,261;894
39840.334,262;894
39873.33,261;895
39907.483,263;894
39939.484,265;894
39973.486,263;894
40006.658,262;893
40040.657,265;894
40073.651,262;894
40106.043,259;894
40141.052,263;894
40173.053,263;894
40207.299,262;894
40241.3,262;893
40273.293,262;893
40307.446,263;893
40340.65,264;893
40372.884,263;893
40406.414,263;893
40440.406,263;893
40473.421,263;893
40506.926,262;893
40539.917,262;894
40572.919,264;893
40607.466,264;893
40640.44,264;893
40672.451,264;893
40706.976,265;894
40739.977,262;893
40773.045,264;893
40806.585,261;893
40840.592,263;893
40872.61,263;893
40907.034,265;893
40939.998,265;893
40973.507,261;893
41007.065,263;893
41042.066,258;893
41073.069,262;893
41106.363,258;893
41141.365,263;893
41173.453,262;893
41206.968,265;893
41239.969,262;893
41274.053,263;893
41306.597,263;892
41340.597,263;893
41373.608,266;893
41406.105,263;893
41441.105,258;893
41473.19,263;893
41507.543,263;893
41540.544,264;893
41573.584,265;893
41606.233,263;893
41641.226,264;893
41673.241,263;893
41706.486,263;893
41740.485,263;893
41773.564,264;893
41809.759,263;892
41841.759,259;893
41873.761,263;893
41907.103,265;893
41940.178,264;893
41973.105,263;893
42007.193,263;893
42041.193,262;893
42073.195,261;893
42106.72,257;893
42141.722,261;893
42172.798,264;893
42207.413,263;892
42241.48,264;893
42273.535,262;893
42307.58,259;893
42342.581,263;893
42373.695,263;893
42407.231,263;893
42440.232,261;894
